country,matching,texture,types,subcategory,,price,content,img
한국,어린이용 치즈,기타,자연치즈,어린이,슬라이스치즈,"3,399원",탄탄한 영양학적 설계로 이루어진 우리 아이의 건강 테이블치즈,https://img-cf.kurly.com/shop/data/goods/1484823932807l0.jpg
한국,샌드위치,기타,자연치즈,체다,,"5,500원",한층 더 진하고 풍성한 체다치즈가 필요할 땐,https://img-cf.kurly.com/shop/data/goods/1532682851253l0.jpg
한국,"샐러드,와인,맥주",기타,자연치즈,모짜렐라,,"2,000원",한 입으로 느끼는 치즈의 맛,https://img-cf.kurly.com/shop/data/goods/1530172980575l0.jpg
한국,"빵, 과일",기타,자연치즈,크림치즈,,"2,000원",한 입으로 느끼는 치즈의 맛,https://img-cf.kurly.com/shop/data/goods/1530172980575l0.jpg
한국,"빵, 크래커, 파니니",기타,자연치즈,고다,,"2,000원",한 입으로 느끼는 치즈의 맛,https://img-cf.kurly.com/shop/data/goods/1530172980575l0.jpg
한국,식빵,기타,자연치즈,모짜렐라,,"5,980원",두툼하고 쫄깃해서 더욱 맛있는,https://img-cf.kurly.com/shop/data/goods/155419355045l0.jpg
이탈리아,"토마토,바질,샐러드",후레쉬치즈,자연치즈,모짜렐라,,"3,870원",신선하게 피어난 우유 그대로의 맛,https://img-cf.kurly.com/shop/data/goods/1544576315159l0.jpg
덴마크,"빵, 꿀, 견과류, 와인",소프트치즈,자연치즈,브리,,"4,165원",부드럽게 녹아드는 숙성치즈의 매력,https://img-cf.kurly.com/shop/data/goods/1566382934703l0.jpg
한국,"샐러드,파스타",기타,자연치즈,체다,,"5,990원",뿌리면 완성되는 고품격 치즈 요리,https://img-cf.kurly.com/shop/data/goods/1510304040181l0.jpg
한국,"샐러드,파스타",기타,자연치즈,모짜렐라,,"5,990원",뿌리면 완성되는 고품격 치즈 요리,https://img-cf.kurly.com/shop/data/goods/1510304040181l0.jpg
호주,"크래커,베이글,와인",소프트치즈,가공치즈,과일치즈,,"4,900원",상큼하고 달콤하게 즐기는 치즈! -신제품 2종 추가-,https://img-cf.kurly.com/shop/data/goods/1525745335131l0.jpg
한국,"빵, 꿀, 카나페",기타,자연치즈,체다,,"3,600원",신선한 자연 치즈로 만들어 고소하고 진한 맛,https://img-cf.kurly.com/shop/data/goods/1532683128287l0.jpg
